Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
palm_link,3.095E-05,-0.018207,0.055563,0,0,0,0.03804,3.3736E-05,1.4396E-08,-1.8165E-08,3.0294E-05,-4.5681E-07,5.8025E-06,0,0,0,0,0,0,package://finger_mujoco/meshes/palm_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://finger_mujoco/meshes/palm_link.STL,,finger-support-M1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
servo_pulley_link,1.7347E-18,0.0033461,3.4694E-18,0,0,0,0.00064912,1.1532E-08,8.4169E-25,2.0525E-10,1.7526E-08,-1.34E-24,1.1469E-08,0,0,0,0,0,0,package://finger_mujoco/meshes/servo_pulley_link.STL,1,1,1,1,0,0,0,0,0,0,package://finger_mujoco/meshes/servo_pulley_link.STL,,pulley-1S-M1-1,Origin_joint_servo,Axis_joint_servo,joint_servo,continuous,0.00010005,-0.0199,0.038,1.5708,0,0.41034,palm_link,0,1,0,0,0,-1.57,1.57,,,,,,,,
motor_pulley_link,-0.00028931,0.0095592,-0.00028355,0,0,0,0.0053624,2.4087E-07,-1.1788E-08,-1.6646E-08,2.5237E-07,-1.1554E-08,2.4154E-07,0,0,0,0,0,0,package://finger_mujoco/meshes/motor_pulley_link.STL,1,1,1,1,0,0,0,0,0,0,package://finger_mujoco/meshes/motor_pulley_link.STL,,bavel_gear_pulley-M1-1,Origin_joint_motor,Axis_joint_motor,joint_motor,continuous,0,-0.0065,0.0575,3.1416,0.012337,0,palm_link,0,1,0,0,0,-3.12,3.12,,,,,,,,
phalanx1_link1_abd,-5.9722E-05,-0.0084809,-0.0081966,0,0,0,0.0025141,6.0121E-08,3.0279E-10,-2.3517E-09,6.5393E-08,1.1194E-09,9.328E-08,0,0,0,0,0,0,package://finger_mujoco/meshes/phalanx1_link1_abd.STL,1,1,1,1,0,0,0,0,0,0,package://finger_mujoco/meshes/phalanx1_link1_abd.STL,,fingerV2-MC-AA-1-M2-1;fingerV2-FM-2-M1-1,Origin_joint0_abd,Axis_joint0_abd,joint0_abd,revolute,0.00025,-0.0054079,0.10695,3.1416,0,3.1416,palm_link,0,1,0,0,0,-0.7,0.7,,,,,,,,
phalanx_link1_prx,0.0031611,0.00033176,-0.0057507,0,0,0,0.0059145,3.5462E-07,1.5123E-10,2.5381E-09,3.7855E-07,3.2223E-10,5.0077E-07,0,0,0,0,0,0,package://finger_mujoco/meshes/phalanx_link1_prx.STL,1,1,1,1,0,0,0,0,0,0,package://finger_mujoco/meshes/phalanx_link1_prx.STL,,fingerV2-FM-2-M2-1;skin8-M1-2,Origin_joint1_prx,Axis_joint1_prx,joint1_prx,revolute,0,-0.0085921,-0.01705,0,0,1.5708,phalanx1_link1_abd,0,1,0,0,0,-0.7,0.7,,,,,,,,
phalanx1_link2_prx,0.00029466,0.00025493,-0.0078726,0,0,0,0.002014,4.8364E-08,1.488E-10,1.2553E-10,3.3878E-08,1.3325E-09,5.9571E-08,0,0,0,0,0,0,package://finger_mujoco/meshes/phalanx1_link2_prx.STL,1,1,1,1,0,0,0,0,0,0,package://finger_mujoco/meshes/phalanx1_link2_prx.STL,,fingerV2-FM-2-M3-1;fingerV2-FD-2-M1-1,Origin_joint2_prx,Axis_joint2_prx,joint2_prx,revolute,0,0,-0.0114,0,0,0,phalanx_link1_prx,0,1,0,0,0,-0.7,0.7,,,,,,,,
phalanx_link1_int,0.00043592,0.00033932,-0.005629,0,0,0,0.0015511,4.1412E-08,1.0185E-09,7.2498E-10,3.6368E-08,3.0891E-10,5.6225E-08,0,0,0,0,0,0,package://finger_mujoco/meshes/phalanx_link1_int.STL,1,1,1,1,0,0,0,0,0,0,package://finger_mujoco/meshes/phalanx_link1_int.STL,,fingerV2-FD-2-M2-1,Origin_joint3_int,Axis_joint3_int,joint3_int,revolute,0,0,-0.01555,0,0,0,phalanx1_link2_prx,0,1,0,0,0,-0.7,0.7,,,,,,,,
phalanx_link2_int,0.0033404,0.00030416,-0.0057723,0,0,0,0.0057585,3.4985E-07,-1.1057E-09,1.622E-09,3.7085E-07,6.9298E-10,4.8937E-07,0,0,0,0,0,0,package://finger_mujoco/meshes/phalanx_link2_int.STL,1,1,1,1,0,0,0,0,0,0,package://finger_mujoco/meshes/phalanx_link2_int.STL,,fingerV2-FD-2-M3-1;skin8-M1-1,Origin_joint4_int,Axis_joint4_int,joint4_int,revolute,0,0,-0.0114,0,0,0,phalanx_link1_int,0,1,0,0,0,-0.7,0.7,,,,,,,,
phalanx_link3_int,9.7987E-05,-0.00025512,0.0076047,0,0,0,0.0019386,4.7362E-08,-1.0401E-10,6.6045E-10,3.3402E-08,1.2609E-09,6.1046E-08,0,0,0,0,0,0,package://finger_mujoco/meshes/phalanx_link3_int.STL,1,1,1,1,0,0,0,0,0,0,package://finger_mujoco/meshes/phalanx_link3_int.STL,,fingerV2-FD-2-M4-1;fingerV2-FP-3-M1-1,Origin_joint5_int,Axis_joint5_int,joint5_int,revolute,0,0,-0.0114,3.1416,0,0,phalanx_link2_int,0,1,0,0,0,-0.7,0.7,,,,,,,,
phalanx_link1_dis,-0.00010858,0.00025287,-0.0094074,0,0,0,0.0023104,9.5883E-08,4.6265E-11,-5.4334E-10,9.9427E-08,-1.2984E-11,7.7015E-08,0,0,0,0,0,0,package://finger_mujoco/meshes/phalanx_link1_dis.STL,1,1,1,1,0,0,0,0,0,0,package://finger_mujoco/meshes/phalanx_link1_dis.STL,,fingerV2-FP-3-M2-1,Origin_joint6_dis,Axis_joint6_dis,joint6_dis,revolute,0,0,0.0149,3.1416,0,0,phalanx_link3_int,0,1,0,0,0,-0.7,0.7,,,,,,,,
